              Option1 Option2     Option3    Option4   Option5
Task Predec Dur Cost Dur Cost    Dur Cost   Dur Cost   Dur Cost	

1		20	44000	18	45500	16	47000	15	47750	13	52250
2		49	11000	46	11750	44	14750	41	15500	39	20750
3		42	6500	39	11000	37	14750	35	16250	33	19250
4		35	41000	33	44750	30	47750	28	50750	25	52250
5		35	48500	33	50000	31	53000	30	54500	29	56000
6		48	9500	46	10250	45	11750	43	14000	41	17000
7		20	38000	18	39500	16	43250	14	46250	13	47000
8	1	28	5000	27	6500	25	8750	23	11750	21	15500
9	2	36	8000	34	11000	33	13250	30	14000	28	17000
10	3	24	14000	22	14750	19	19250	17	20750	14	27500
11	4	37	6500	36	7250	33	11000	32	13250	30	17750
12	5	24	29000	21	32750	18	37250	17	38750	14	41750
13	6	24	8000	22	10250	20	11750	18	14750	15	20000
14	7	43	26000	41	29750	40	31250	38	34250	37	37250
15	8	42	48500	39	53000	37	56750	34	58250	31	60500
16	9	43	39500	42	41750	39	44750	37	45500	35	47000
17	10	36	6500	35	8000	32	11750	29	12500	26	18500
18	11	38	48500	37	50750	34	52250	33	54500	32	56750
19	12	25	35000	23	37250	22	38750	20	39500	18	42500
20	13	29	41000	27	44750	25	45500	24	47000	22	50750
21	14	26	21500	24	24500	22	26000	20	29000	18	31250
22	15	20	17000	17	18500	15	20750	14	23000	12	26000
23	16	49	17000	46	22250	45	24500	43	27500	41	29750
24	17	49	48500	46	50000	44	51500	43	53750	41	55250
25	18	22	47000	19	50000	18	50750	17	52250	15	56000
26	19	21	14000	19	16250	17	19250	16	20000	13	23750
27	20	26	35000	25	36500	24	38000	22	39500	20	44000
28	21	21	44000	18	45500	16	47000	14	50000	12	52250
29	22	40	47000	39	49250	38	50750	37	53000	34	58250
30	23	41	48500	39	52250	38	53750	35	54500	33	58250
31	24	44	30500	42	32750	40	35000	39	35750	37	39500
32	25	38	23000	36	26750	34	29000	32	30500	30	34250
33	26	23	32000	21	33500	19	34250	17	37250	15	41000
34	27	39	30500	37	32750	34	35000	32	36500	30	39500
35	28	36	6500	34	8000	31	10250	29	11750	28	13250
36	29	35	11000	33	11750	32	14000	30	17000	29	18500
37	30	33	30500	31	32000	29	35000	27	38750	24	41750
38	31	48	18500	46	21500	44	23750	41	27500	39	28250
39	32	28	32000	25	35000	24	37250	23	38000	21	41750
40	33	40	29000	39	29750	38	31250	36	33500	33	35000
41	34	25	9500	23	11750	21	14000	18	16250	16	18500
42	35	46	47000	45	47750	44	49250	42	52250	40	56750
43	36	33	8000	32	9500	30	10250	27	13250	26	15500
44	37	49	48500	47	50000	46	51500	44	52250	42	53750
45	38	42	6500	41	8000	40	8750	39	10250	37	13250
46	39	36	23000	34	25250	32	28250	31	29750	29	35000
47	40	48	38000	47	38750	45	41000	44	43250	42	47000
48	41	43	27500	42	29000	40	32000	37	35000	35	37250
49	42	41	41000	40	41750	37	44000	35	46250	32	53750
50	43	32	20000	31	20750	29	23750	27	26000	24	27500
51	44	26	50000	25	52250	23	55250	22	56750	20	61250
52	45	30	9500	27	12500	25	15500	22	16250	21	17750
53	46	21	36500	18	39500	16	42500	13	47750	11	51500
54	47	26	21500	25	22250	22	26750	20	29000	18	33500
55	48	45	47000	42	52250	39	56000	38	56750	36	61250
